Date,Description,Amount
2024-01-06,AMAZON.COM,45.99
2024-01-13,TARGET STORE T-1234,67.82
2024-01-17,APPLE.COM/BILL,0.99
2024-01-21,GEICO AUTO INSURANCE,125.00
2024-01-24,CVS PHARMACY #5678,23.45
2024-01-30,AMAZON.COM,89.50
2024-02-04,TARGET STORE T-1234,72.30
2024-02-09,APPLE.COM/BILL,0.99
2024-02-14,NORDSTROM RACK,156.78
2024-02-17,SEPHORA #234,89.90
2024-02-20,GEICO AUTO INSURANCE,125.00
2024-02-23,CVS PHARMACY #5678,31.20
2024-02-26,AMAZON.COM,112.40
2024-03-02,TARGET STORE T-1234,85.60
2024-03-06,APPLE.COM/BILL,0.99
2024-03-09,ZARA USA,198.50
2024-03-13,SEPHORA #234,124.70
2024-03-16,LULULEMON,128.00
2024-03-19,GEICO AUTO INSURANCE,125.00
2024-03-22,CVS PHARMACY #5678,28.90
2024-03-27,AMAZON.COM,145.80
2024-03-30,BEST BUY #00123,299.99
2024-04-03,TARGET STORE T-1234,94.20
2024-04-07,APPLE.COM/BILL,0.99
2024-04-10,H&M STORE,167.30
2024-04-14,SEPHORA #234,142.50
2024-04-17,LULULEMON,156.00
2024-04-20,GEICO AUTO INSURANCE,125.00
2024-04-24,CVS PHARMACY #5678,35.60
2024-04-28,AMAZON.COM,178.90
2024-05-01,NORDSTROM,245.80
2024-05-05,TARGET STORE T-1234,108.40
2024-05-08,APPLE.COM/BILL,0.99
2024-05-12,ZARA USA,223.60
2024-05-15,SEPHORA #234,167.80
2024-05-18,LULULEMON,184.00
2024-05-21,GEICO AUTO INSURANCE,125.00
2024-05-25,CVS PHARMACY #5678,42.30
2024-05-29,AMAZON.COM,215.70
2024-06-02,ANTHROPOLOGIE,189.90
2024-06-06,TARGET STORE T-1234,125.80
2024-06-09,APPLE.COM/BILL,0.99
2024-06-13,H&M STORE,198.40
2024-06-16,SEPHORA #234,189.20
2024-06-19,LULULEMON,212.00
2024-06-22,GEICO AUTO INSURANCE,125.00
2024-06-26,CVS PHARMACY #5678,48.90
2024-06-30,AMAZON.COM,248.60
2024-07-03,NORDSTROM,312.50
2024-07-07,TARGET STORE T-1234,142.30
2024-07-10,APPLE.COM/BILL,0.99
2024-07-14,ZARA USA,267.80
2024-07-17,SEPHORA #234,215.60
2024-07-20,LULULEMON,240.00
2024-07-23,GEICO AUTO INSURANCE,125.00
2024-07-27,CVS PHARMACY #5678,55.70
2024-07-31,AMAZON.COM,289.40
2024-08-04,REVOLVE CLOTHING,356.90
2024-08-08,TARGET STORE T-1234,167.50
2024-08-11,APPLE.COM/BILL,0.99
2024-08-15,H&M STORE,234.70
2024-08-18,SEPHORA #234,248.90
2024-08-21,LULULEMON,268.00
2024-08-24,GEICO AUTO INSURANCE,125.00
2024-08-28,CVS PHARMACY #5678,62.40
2024-09-01,AMAZON.COM,334.80
2024-09-05,NORDSTROM,389.60
2024-09-09,TARGET STORE T-1234,189.70
2024-09-12,APPLE.COM/BILL,0.99
2024-09-16,ZARA USA,312.50
2024-09-19,SEPHORA #234,278.30
2024-09-22,LULULEMON,296.00
2024-09-25,GEICO AUTO INSURANCE,125.00
2024-09-29,CVS PHARMACY #5678,69.80
2024-10-02,AMAZON.COM,378.90
2024-10-06,ANTHROPOLOGIE,423.70
2024-10-10,TARGET STORE T-1234,215.40
2024-10-13,APPLE.COM/BILL,0.99
2024-10-17,H&M STORE,289.30
2024-10-20,SEPHORA #234,312.80
2024-10-23,LULULEMON,324.00
2024-10-26,GEICO AUTO INSURANCE,125.00
2024-10-30,CVS PHARMACY #5678,77.20
2024-11-03,AMAZON.COM,425.60
2024-11-07,NORDSTROM,478.90
2024-11-11,TARGET STORE T-1234,245.80
2024-11-14,APPLE.COM/BILL,0.99
2024-11-18,ZARA USA,367.40
2024-11-21,SEPHORA #234,348.70
2024-11-24,LULULEMON,352.00
2024-11-27,GEICO AUTO INSURANCE,125.00
2024-12-01,CVS PHARMACY #5678,84.90
2024-12-05,AMAZON.COM,478.30
2024-12-09,REVOLVE CLOTHING,534.80
2024-12-13,TARGET STORE T-1234,278.90
2024-12-16,APPLE.COM/BILL,0.99
2024-12-20,H&M STORE,423.60
2024-12-23,SEPHORA #234,389.50
2024-12-26,LULULEMON,380.00
2024-12-29,GEICO AUTO INSURANCE,125.00
