Date,Description,Amount
2024-01-01,APPLE ICLOUD+ 50GB,0.99
2024-01-05,HULU,7.99
2024-01-10,AMAZON PRIME,14.99
2024-01-15,EQUINOX GYM,200.00
2024-01-20,CONCERT TICKETS - STUBHUB,85.00
2024-02-01,APPLE ICLOUD+ 50GB,0.99
2024-02-05,HULU,7.99
2024-02-10,AMAZON PRIME,14.99
2024-02-12,HBO MAX,15.99
2024-02-15,EQUINOX GYM,200.00
2024-02-18,BROADWAY SHOW - TICKETMASTER,145.00
2024-02-25,MASTERCLASS ANNUAL,180.00
2024-03-01,APPLE ICLOUD+ 200GB,2.99
2024-03-05,HULU,7.99
2024-03-10,AMAZON PRIME,14.99
2024-03-12,HBO MAX,15.99
2024-03-15,EQUINOX GYM,200.00
2024-03-20,DISNEY+,7.99
2024-03-22,CONCERT TICKETS - STUBHUB,125.00
2024-03-28,AUDIBLE PREMIUM PLUS,14.95
2024-04-01,APPLE ICLOUD+ 200GB,2.99
2024-04-05,HULU,7.99
2024-04-10,AMAZON PRIME,14.99
2024-04-12,HBO MAX,15.99
2024-04-15,EQUINOX GYM,200.00
2024-04-20,DISNEY+,7.99
2024-04-22,AUDIBLE PREMIUM PLUS,14.95
2024-04-25,MUSIC FESTIVAL - EVENTBRITE,285.00
2024-04-28,APPLE ARCADE,4.99
2024-05-01,APPLE ICLOUD+ 200GB,2.99
2024-05-05,HULU,7.99
2024-05-10,AMAZON PRIME,14.99
2024-05-12,HBO MAX,15.99
2024-05-15,EQUINOX GYM,200.00
2024-05-18,PARAMOUNT+,5.99
2024-05-20,DISNEY+,7.99
2024-05-22,AUDIBLE PREMIUM PLUS,14.95
2024-05-25,APPLE ARCADE,4.99
2024-05-28,CONCERT TICKETS - STUBHUB,165.00
2024-06-01,APPLE ICLOUD+ 2TB,9.99
2024-06-05,HULU,7.99
2024-06-10,AMAZON PRIME,14.99
2024-06-12,HBO MAX,15.99
2024-06-15,EQUINOX GYM,200.00
2024-06-18,PARAMOUNT+,5.99
2024-06-20,DISNEY+,7.99
2024-06-22,AUDIBLE PREMIUM PLUS,14.95
2024-06-25,APPLE ARCADE,4.99
2024-06-28,PEACOCK PREMIUM,5.99
2024-06-30,MUSIC FESTIVAL - EVENTBRITE,345.00
2024-07-01,APPLE ICLOUD+ 2TB,9.99
2024-07-05,HULU,7.99
2024-07-10,AMAZON PRIME,14.99
2024-07-12,HBO MAX,15.99
2024-07-15,EQUINOX GYM,200.00
2024-07-18,PARAMOUNT+,5.99
2024-07-20,DISNEY+,7.99
2024-07-22,AUDIBLE PREMIUM PLUS,14.95
2024-07-25,APPLE ARCADE,4.99
2024-07-28,PEACOCK PREMIUM,5.99
2024-07-30,APPLE FITNESS+,9.99
2024-08-01,APPLE ICLOUD+ 2TB,9.99
2024-08-05,HULU,7.99
2024-08-10,AMAZON PRIME,14.99
2024-08-12,HBO MAX,15.99
2024-08-15,EQUINOX GYM,200.00
2024-08-18,PARAMOUNT+,5.99
2024-08-20,DISNEY+,7.99
2024-08-22,AUDIBLE PREMIUM PLUS,14.95
2024-08-25,APPLE ARCADE,4.99
2024-08-28,PEACOCK PREMIUM,5.99
2024-08-30,APPLE FITNESS+,9.99
2024-09-01,APPLE ICLOUD+ 2TB,9.99
2024-09-05,HULU,7.99
2024-09-10,AMAZON PRIME,14.99
2024-09-12,HBO MAX,15.99
2024-09-15,EQUINOX GYM,200.00
2024-09-18,PARAMOUNT+,5.99
2024-09-20,DISNEY+,7.99
2024-09-22,AUDIBLE PREMIUM PLUS,14.95
2024-09-25,APPLE ARCADE,4.99
2024-09-28,PEACOCK PREMIUM,5.99
2024-09-30,APPLE FITNESS+,9.99
2024-10-01,APPLE ICLOUD+ 2TB,9.99
2024-10-03,APPLE NEWS+,9.99
2024-10-05,HULU,7.99
2024-10-10,AMAZON PRIME,14.99
2024-10-12,HBO MAX,15.99
2024-10-15,EQUINOX GYM,200.00
2024-10-18,PARAMOUNT+,5.99
2024-10-20,DISNEY+,7.99
2024-10-22,AUDIBLE PREMIUM PLUS,14.95
2024-10-25,APPLE ARCADE,4.99
2024-10-28,PEACOCK PREMIUM,5.99
2024-10-30,APPLE FITNESS+,9.99
2024-11-01,APPLE ICLOUD+ 2TB,9.99
2024-11-03,APPLE NEWS+,9.99
2024-11-05,HULU,7.99
2024-11-10,AMAZON PRIME,14.99
2024-11-12,HBO MAX,15.99
2024-11-15,EQUINOX GYM,200.00
2024-11-18,PARAMOUNT+,5.99
2024-11-20,DISNEY+,7.99
2024-11-22,AUDIBLE PREMIUM PLUS,14.95
2024-11-25,APPLE ARCADE,4.99
2024-11-28,PEACOCK PREMIUM,5.99
2024-11-30,APPLE FITNESS+,9.99
2024-12-01,APPLE ICLOUD+ 2TB,9.99
2024-12-03,APPLE NEWS+,9.99
2024-12-05,HULU,7.99
2024-12-07,APPLE TV+,6.99
2024-12-10,AMAZON PRIME,14.99
2024-12-12,HBO MAX,15.99
2024-12-15,EQUINOX GYM,200.00
2024-12-18,PARAMOUNT+,5.99
2024-12-20,DISNEY+,7.99
2024-12-22,AUDIBLE PREMIUM PLUS,14.95
2024-12-25,APPLE ARCADE,4.99
2024-12-28,PEACOCK PREMIUM,5.99
2024-12-30,APPLE FITNESS+,9.99
